x,y
"",""
1,1
2,2
3,3
4,0
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,17
22,20
23,21
24,11
25,22
26,16
27,17
28,23
29,24
30,25
31,26
32,27
33,7
34,28
35,11
36,29
37,30
38,31
39,32
40,33
41,34
42,35
43,33
44,36
45,""
46,37
47,38
48,11
49,39
50,10
51,11
52,40
53,41
54,42
55,43
56,44
57,45
58,7
59,46
60,47
61,48
62,46
63,47
64,48
65,46
66,47
67,48
68,46
69,47
70,48
71,46
72,47
73,48
74,49
75,7
76,10
77,11
78,50
79,51
80,52
81,53
82,47
83,24
84,54
85,51
86,55
87,56
88,5
89,57
90,10
91,58
92,5
93,59
94,60
95,10
96,47
97,61
98,49
99,7
100,10
101,11
102,50
103,51
104,52
105,53
106,47
107,24
108,54
109,51
110,55
111,56
112,5
113,57
114,10
115,58
116,5
117,59
118,60
119,10
120,47
121,61
122,43
123,34
124,62
125,30
126,63
127,24
128,64
129,65
130,5
131,66
132,7
133,63
134,67
135,16
136,""
137,68
138,24
139,25
140,26
141,27
142,7
143,28
144,11
145,29
146,30
147,31
148,32
149,33
150,34
151,35
152,33
153,36
154,""
155,37
156,38
157,11
158,39
159,10
160,11
161,40
162,41
163,42
164,43
165,44
166,45
167,7
168,46
169,47
170,48
171,46
172,47
173,48
174,46
175,47
176,48
177,46
178,47
179,48
180,46
181,47
182,48
183,49
184,7
185,10
186,11
187,50
188,51
189,52
190,53
191,47
192,24
193,54
194,51
195,55
196,56
197,5
198,57
199,10
200,58
201,5
202,59
203,60
204,10
205,47
206,61
207,49
208,7
209,10
210,11
211,50
212,51
213,52
214,53
215,47
216,24
217,54
218,51
219,55
220,56
221,5
222,57
223,10
224,58
225,5
226,59
227,60
228,10
229,47
230,61
231,24
232,25
233,26
234,27
235,7
236,28
237,11
238,29
239,30
240,31
241,32
242,33
243,34
244,35
245,33
246,36
247,""
248,37
249,38
250,11
251,39
252,10
253,11
254,40
255,41
256,42
257,43
258,44
259,45
260,7
261,49
262,7
263,10
264,11
265,50
266,46
267,47
268,48
269,46
270,47
271,48
272,51
273,52
274,53
275,47
276,24
277,54
278,46
279,47
280,48
281,46
282,47
283,48
284,51
285,55
286,56
287,5
288,57
289,10
290,58
291,46
292,47
293,48
294,46
295,47
296,48
297,5
298,59
299,60
300,10
301,47
302,61
303,46
304,47
305,48
306,46
307,47
308,48
309,49
310,7
311,10
312,11
313,50
314,46
315,47
316,48
317,46
318,47
319,48
320,51
321,52
322,53
323,47
324,24
325,54
326,46
327,47
328,48
329,46
330,47
331,48
332,51
333,55
334,56
335,5
336,57
337,10
338,58
339,46
340,47
341,48
342,46
343,47
344,48
345,5
346,59
347,60
348,10
349,47
350,61
351,49
352,7
353,10
354,11
355,50
356,51
357,52
358,53
359,47
360,24
361,54
362,51
363,55
364,56
365,5
366,57
367,10
368,58
369,5
370,59
371,60
372,10
373,47
374,61
375,49
376,7
377,10
378,11
379,50
380,51
381,52
382,53
383,47
384,24
385,54
386,51
387,55
388,56
389,5
390,57
391,10
392,58
393,5
394,59
395,60
396,10
397,47
398,61
399,49
400,7
401,10
402,11
403,50
404,51
405,52
406,53
407,47
408,24
409,54
410,51
411,55
412,56
413,5
414,57
415,10
416,58
417,5
418,59
419,60
420,10
421,47
422,61
423,49
424,7
425,10
426,11
427,50
428,51
429,52
430,53
431,47
432,24
433,54
434,51
435,55
436,56
437,5
438,57
439,10
440,58
441,5
442,59
443,60
444,10
445,47
446,61
